term,GVIF,Df,GVIF^(1/(2*Df))
z_unweighted_degree,8.88034261163798,1,2.9799903710646416
z_betweenness,4.742969767015187,1,2.17783602849599
z_eigenvector,1.269399868193319,1,1.1266764700628655
z_record_exposure,3.2156317223136384,1,1.7932182584151988
core_region,1.1372810214124565,3,1.021671546897672
