dependent_variable,model,term,estimate,std_error,p_value,direction,significant_005,n,r_squared
LCP_female_heavy_0208,Model_4_unweighted_degree,z_unweighted_degree,0.08576797298710717,0.009702443121749917,0.0038848663466476874,positive,Yes,655,0.22640551513758966
LCP_female_heavy_0208,Model_4_unweighted_degree,z_betweenness,-0.040432424534485555,0.008508315522128218,0.017322868445183052,negative,Yes,655,0.22640551513758966
LCP_female_heavy_0208,Model_4_unweighted_degree,z_eigenvector,0.0031096199599100747,0.008896210916893445,0.7746394089403034,positive,No,655,0.22640551513758966
LCP_binary_female_0703,Model_1_weighted_degree,z_weighted_degree,0.040454268123497145,0.010260129408882178,0.06359928295030098,positive,No,655,0.10792807231996843
LCP_binary_female_0703,Model_2_centrality,z_weighted_degree,0.101613897299114,0.02263435077766404,0.024428183997666206,positive,Yes,655,0.12742104145932692
LCP_binary_female_0703,Model_2_centrality,z_betweenness,-0.03636874865291263,0.01154150109379148,0.05035011578692953,negative,No,655,0.12742104145932692
LCP_binary_female_0703,Model_2_centrality,z_eigenvector,-0.04167811348967714,0.018228321870898685,0.10962186347430665,negative,No,655,0.12742104145932692
LCP_binary_female_0703,Model_3_exposure_adjusted,z_unweighted_degree,0.10553625123159549,0.015999837606313686,0.005643000270845264,positive,Yes,655,0.17253810529992217
LCP_binary_female_0703,Model_3_exposure_adjusted,z_betweenness,-0.054550503498653424,0.010716800173051752,0.013546456241758405,negative,Yes,655,0.17253810529992217
LCP_binary_female_0703,Model_3_exposure_adjusted,z_eigenvector,6.986131482850789e-4,0.007415329545431635,0.9372332042487033,positive,No,655,0.17253810529992217
LCP_binary_female_0703,Model_3_exposure_adjusted,z_record_exposure,-0.002146377882956241,0.02159459246763974,0.9264371448398228,negative,No,655,0.17253810529992217
LCP_binary_female_0703,Model_4_unweighted_degree,z_unweighted_degree,0.10403366496945735,0.013163360473818357,0.005274295031939818,positive,Yes,655,0.17251865875611794
LCP_binary_female_0703,Model_4_unweighted_degree,z_betweenness,-0.054052059879688745,0.011149446043470521,0.016399246695623593,negative,Yes,655,0.17251865875611794
LCP_binary_female_0703,Model_4_unweighted_degree,z_eigenvector,6.780589107719697e-4,0.007475125920776199,0.939610445657642,positive,No,655,0.17251865875611794
LCP_pca,Model_1_weighted_degree,z_weighted_degree,-0.03956930775711506,0.009676649837094391,0.059665548771189805,negative,No,655,0.12854017476542465
