family_id,location,province,core_region,is_focal_family,unweighted_degree,weighted_degree,betweenness,eigenvector,component_id,in_giant_component
"Wu family, Qiantang, Zhejiang","Qiantang, Zhejiang",Zhejiang,Zhejiang,TRUE,37,56,0.03645519927917722,9.539956883823148e-5,3,TRUE
"Chen family, Xincheng, Jiangxi","Xincheng, Jiangxi",Jiangxi,Other,TRUE,35,56,0.02631757952961223,0.00523709642126255,3,TRUE
"Qian family, Xiushui, Zhejiang","Xiushui, Zhejiang",Zhejiang,Zhejiang,TRUE,33,52,0.02153917388638905,2.9199557659207267e-4,3,TRUE
"Zhao family, Yanghu, Jiangsu","Yanghu, Jiangsu",Jiangsu,Jiangsu,TRUE,22,49,0.04934429208839335,0.00108542768132802,3,TRUE
"Zhu family, hai yan, Zhejiang","hai yan, Zhejiang",Zhejiang,Zhejiang,TRUE,26,48,0.02690664169340299,8.160195246573699e-4,3,TRUE
"Gu family, zhang zhou, Jiangsu","zhang zhou, Jiangsu",Jiangsu,Jiangsu,TRUE,25,47,0.01976471300222111,0.00504271367601827,3,TRUE
"Li family, Hefei, Anhui","Hefei, Anhui",Anhui,Anhui,TRUE,22,44,0.02039065895201564,6.315545379311057e-5,3,TRUE
"Wang family, Huating, Jiangsu","Huating, Jiangsu",Jiangsu,Jiangsu,TRUE,19,42,0.01620223675223013,4.90105270312655e-4,3,TRUE
"Liu family, Wujin, Jiangsu","Wujin, Jiangsu",Jiangsu,Jiangsu,TRUE,21,41,0.01021600675985844,0.00310408608947668,3,TRUE
"Fang family, Yanghu, Jiangsu","Yanghu, Jiangsu",Jiangsu,Jiangsu,TRUE,30,39,0.0112630837846919,3.655656639707965e-4,3,TRUE
"Xu family, Haining, Zhejiang","Haining, Zhejiang",Zhejiang,Zhejiang,TRUE,23,39,0.01889238766513872,3.782158011332849e-4,3,TRUE
"jin family, Renhe, Zhejiang","Renhe, Zhejiang",Zhejiang,Zhejiang,TRUE,22,38,0.01449108597067399,2.6142842764366914e-4,3,TRUE
"Zhu family, bao ying, Jiangsu","bao ying, Jiangsu",Jiangsu,Jiangsu,TRUE,12,34,0.01351515285946229,2.2021168495491616e-4,3,TRUE
"Lin family, hou guan, Fujian","hou guan, Fujian",Fujian,Other,TRUE,15,34,0.0141629330716873,5.751234495577331e-6,3,TRUE
"qin family, Wuxi, Jiangsu","Wuxi, Jiangsu",Jiangsu,Jiangsu,TRUE,23,34,0.0113239951698084,9.652001287206076e-5,3,TRUE
