family_A,family_B,weight,marriage_types,n_writing_records,source_lines,A_is_focal,B_is_focal,edge_scope
周氏（河南祥符）,方氏（安徽桐城）,1,娶,0,5529,TRUE,TRUE,within_focal_network
周氏（河南祥符）,段氏（直隶长垣）,1,娶,0,5527,TRUE,FALSE,external_to_nonfocal_family
周氏（河南祥符）,邓氏（江苏上元）,1,娶,0,5528,TRUE,FALSE,external_to_nonfocal_family
周氏（河南祥符）,魏氏（浙江钱塘）,1,娶,0,4693,TRUE,TRUE,within_focal_network
周氏（浙江乌程九279册）,陆氏（浙江归安）,1,娶,0,4152,FALSE,TRUE,external_to_nonfocal_family
周氏（浙江乌程）,徐氏（浙江海宁）,1,适,0,7033,TRUE,FALSE,external_to_nonfocal_family
周氏（浙江乌程）,许氏（浙江乌程）,1,适,0,4172,TRUE,FALSE,external_to_nonfocal_family
周氏（浙江乌程）,陆氏（浙江归安）,1,适,0,4173,TRUE,TRUE,within_focal_network
周氏（浙江乌程）,陈氏（浙江慈溪）,1,适,0,4171,TRUE,FALSE,external_to_nonfocal_family
周氏（浙江仁和）,潘氏（浙江钱塘）,1,娶,0,7039,FALSE,TRUE,external_to_nonfocal_family
周氏（浙江仁和）,王氏（江苏吴江）,1,适,1,2196,FALSE,TRUE,external_to_nonfocal_family
周氏（浙江仁和）,董氏（浙江仁和）,1,娶,0,5157,FALSE,TRUE,external_to_nonfocal_family
周氏（浙江仁和）,许氏（浙江钱塘）,2,娶,0,4619;4654,FALSE,TRUE,external_to_nonfocal_family
周氏（浙江仁和）,陶氏（浙江秀水）,1,适,1,3754,FALSE,TRUE,external_to_nonfocal_family
周氏（浙江吴兴）,罗氏（浙江上虞）,1,适,0,5283,FALSE,TRUE,external_to_nonfocal_family
周氏（浙江嘉善）,姚氏（浙江归安）,1,娶,1,4076,FALSE,TRUE,external_to_nonfocal_family
周氏（浙江山阴）,张氏（江苏吴县）,1,适,0,7117,FALSE,TRUE,external_to_nonfocal_family
周氏（浙江山阴）,沈氏（浙江钱塘）,1,娶,1,4950,FALSE,TRUE,external_to_nonfocal_family
周氏（浙江桐乡）,方氏（江苏阳湖）,1,娶,0,982,FALSE,TRUE,external_to_nonfocal_family
周氏（浙江瑞安）,黄氏（浙江瑞安）,1,娶,0,5442,FALSE,TRUE,external_to_nonfocal_family
周氏（浙江竦县）,钱氏（浙江竦县）,1,适,0,7148,FALSE,FALSE,external_to_nonfocal_family
周氏（浙江钱塘）,徐氏（浙江德清）,1,娶,0,4240,TRUE,TRUE,within_focal_network
周氏（浙江钱塘）,翁氏（不详）,1,适,1,4964,TRUE,FALSE,external_to_nonfocal_family
周氏（浙江钱塘）,魏氏（浙江钱塘）,1,娶,0,4688,TRUE,TRUE,within_focal_network
周氏（湖南善化）,李氏（湖南湘阴（《清代科举人物家传资料氾编》第52册）,1,娶,0,5942,TRUE,FALSE,external_to_nonfocal_family
周氏（湖南善化）,李氏（湖南湘阴）,1,适,0,5918,TRUE,TRUE,within_focal_network
周氏（湖南善化）,贺氏（湖南善化工52册）,1,适,0,5944,TRUE,FALSE,external_to_nonfocal_family
周氏（湖南善化）,贺氏（湖南善化）,1,娶,0,5951,TRUE,TRUE,within_focal_network
周氏（湖南湘潭）,左氏（《慈云阁诗钞》卷首）,1,娶,1,5989,TRUE,FALSE,external_to_nonfocal_family
周氏（湖南湘潭）,左氏（湖南湘阴（《慈云阁诗钞》卷首）,1,适,1,5980,TRUE,FALSE,external_to_nonfocal_family
周氏（湖南湘潭）,左氏（湖南湘阴）,4,娶;适,4,5890;5891;5897;5978,TRUE,TRUE,within_focal_network
周氏（湖南湘潭）,张氏（不详）,1,适,1,5981,TRUE,FALSE,external_to_nonfocal_family
周氏（湖南湘潭）,徐氏（湖南长沙）,1,适,1,5985,TRUE,FALSE,external_to_nonfocal_family
周氏（湖南湘潭）,王氏（湖南湘潭）,1,娶,1,5977,TRUE,TRUE,within_focal_network
周氏（湖南湘潭）,罗氏（湖南湘潭）,1,适,1,5987,TRUE,FALSE,external_to_nonfocal_family
周氏（湖南湘潭）,葛氏（《方上周氏诗词集》卷五）,1,适,1,5988,TRUE,FALSE,external_to_nonfocal_family
周氏（湖南湘潭）,陶氏（湖南安化）,2,娶;适,0,5979;6039,TRUE,TRUE,within_focal_network
