dependent_variable,model,term,estimate,std_error,p_value,direction,significant_005,n,r_squared
LCP_female_heavy_0208,Model_4_unweighted_degree,z_unweighted_degree,0.08576797298710717,0.00970244312174991,0.00388486634664768,positive,Yes,655,0.2264055151375897
LCP_female_heavy_0208,Model_4_unweighted_degree,z_betweenness,-0.04043242453448555,0.00850831552212821,0.01732286844518305,negative,Yes,655,0.2264055151375897
LCP_female_heavy_0208,Model_4_unweighted_degree,z_eigenvector,0.00310961995991007,0.00889621091689344,0.7746394089403034,positive,No,655,0.2264055151375897
LCP_binary_female_0703,Model_1_weighted_degree,z_weighted_degree,0.04045426812349714,0.01026012940888217,0.06359928295030098,positive,No,655,0.10792807231996844
LCP_binary_female_0703,Model_2_centrality,z_weighted_degree,0.101613897299114,0.02263435077766404,0.0244281839976662,positive,Yes,655,0.12742104145932692
LCP_binary_female_0703,Model_2_centrality,z_betweenness,-0.03636874865291263,0.01154150109379148,0.05035011578692953,negative,No,655,0.12742104145932692
LCP_binary_female_0703,Model_2_centrality,z_eigenvector,-0.04167811348967714,0.01822832187089868,0.10962186347430664,negative,No,655,0.12742104145932692
LCP_binary_female_0703,Model_3_exposure_adjusted,z_unweighted_degree,0.10553625123159548,0.01599983760631368,0.00564300027084526,positive,Yes,655,0.17253810529992217
LCP_binary_female_0703,Model_3_exposure_adjusted,z_betweenness,-0.05455050349865342,0.01071680017305175,0.0135464562417584,negative,Yes,655,0.17253810529992217
LCP_binary_female_0703,Model_3_exposure_adjusted,z_eigenvector,6.986131482850789e-4,0.00741532954543162,0.9372332042487032,positive,No,655,0.17253810529992217
LCP_binary_female_0703,Model_3_exposure_adjusted,z_record_exposure,-0.00214637788295624,0.02159459246763974,0.9264371448398228,negative,No,655,0.17253810529992217
LCP_binary_female_0703,Model_4_unweighted_degree,z_unweighted_degree,0.10403366496945736,0.01316336047381835,0.00527429503193981,positive,Yes,655,0.17251865875611794
LCP_binary_female_0703,Model_4_unweighted_degree,z_betweenness,-0.05405205987968874,0.01114944604347052,0.01639924669562359,negative,Yes,655,0.17251865875611794
LCP_binary_female_0703,Model_4_unweighted_degree,z_eigenvector,6.780589107719697e-4,0.00747512592077619,0.939610445657642,positive,No,655,0.17251865875611794
LCP_pca,Model_1_weighted_degree,z_weighted_degree,-0.03956930775711506,0.00967664983709439,0.0596655487711898,negative,No,655,0.12854017476542465
LCP_pca,Model_2_centrality,z_weighted_degree,-0.09295629126310552,0.02254973522421081,0.03018422013125261,negative,Yes,655,0.1492358907972417
LCP_pca,Model_2_centrality,z_betweenness,0.03126171838042893,0.01065065894988269,0.05981261153693361,positive,No,655,0.1492358907972417
LCP_pca,Model_2_centrality,z_eigenvector,0.03689163147236269,0.01868059130030899,0.14621444764654382,positive,No,655,0.1492358907972417
LCP_pca,Model_3_exposure_adjusted,z_unweighted_degree,-0.093016881016409,0.01137853431471805,0.00291592376738809,negative,Yes,655,0.19894353201508835
LCP_pca,Model_3_exposure_adjusted,z_betweenness,0.04633545780149755,0.00908167622662875,0.01345722702716906,positive,Yes,655,0.19894353201508835
LCP_pca,Model_3_exposure_adjusted,z_eigenvector,-0.00196737058989537,0.00836449126350105,0.8453755174660222,negative,No,655,0.19894353201508835
LCP_pca,Model_3_exposure_adjusted,z_record_exposure,-0.00171833887103703,0.01639120018093897,0.9224303839935843,negative,No,655,0.19894353201508835
LCP_pca,Model_4_unweighted_degree,z_unweighted_degree,-0.09421981569152882,0.01122954765300131,0.00448091291411682,negative,Yes,655,0.1989264365893299
LCP_pca,Model_4_unweighted_degree,z_betweenness,0.04673449985848508,0.00962286498005477,0.01631906702609814,positive,Yes,655,0.1989264365893299
LCP_pca,Model_4_unweighted_degree,z_eigenvector,-0.00198382582155041,0.00821957150147684,0.8416131440151455,negative,No,655,0.1989264365893299
