dependent_variable,model,term,estimate,std_error,statistic,p_value,n,r_squared,adj_r_squared,n_province_clusters,se_type
LCP_main_0604,Model_1_weighted_degree,(Intercept),0.1592676520618025,0.00535009879639274,29.769104856378963,0.00146985846881578,655,0.1519346503476526,0.1467157866574843,18,province-clustered robust SE
LCP_main_0604,Model_1_weighted_degree,z_weighted_degree,0.03869906514223037,0.00935537640723675,4.136558857460308,0.05846804490426096,655,0.1519346503476526,0.1467157866574843,18,province-clustered robust SE
LCP_main_0604,Model_1_weighted_degree,core_regionZhejiang,0.03385014197448574,7.930642590724763e-4,42.68272285284295,7.40863894449328e-4,655,0.1519346503476526,0.1467157866574843,18,province-clustered robust SE
LCP_main_0604,Model_1_weighted_degree,core_regionAnhui,-0.0584550314978174,0.01109628589044212,-5.267981744068806,0.03794565964696152,655,0.1519346503476526,0.1467157866574843,18,province-clustered robust SE
LCP_main_0604,Model_1_weighted_degree,core_regionOther,-0.06038141673345026,0.02563336215773989,-2.355579278359251,0.04588920487022308,655,0.1519346503476526,0.1467157866574843,18,province-clustered robust SE
LCP_main_0604,Model_2_centrality,(Intercept),0.14066847850188788,0.01082795710076195,12.991229757641838,0.00616715311310322,655,0.17368927705192241,0.1660382518394401,18,province-clustered robust SE
LCP_main_0604,Model_2_centrality,z_weighted_degree,0.08540931660896525,0.022990137824968,3.715041521682748,0.03886004790408778,655,0.17368927705192241,0.1660382518394401,18,province-clustered robust SE
LCP_main_0604,Model_2_centrality,z_betweenness,-0.02681712522326723,0.01009679635811458,-2.6560033769240947,0.07558789681126094,655,0.17368927705192241,0.1660382518394401,18,province-clustered robust SE
LCP_main_0604,Model_2_centrality,z_eigenvector,-0.03284066609326253,0.01926197705877234,-1.70494783547186,0.19017863202680468,655,0.17368927705192241,0.1660382518394401,18,province-clustered robust SE
LCP_main_0604,Model_2_centrality,core_regionZhejiang,0.03332245968894366,0.001098984537442,30.32113606120882,0.00134316191889516,655,0.17368927705192241,0.1660382518394401,18,province-clustered robust SE
LCP_main_0604,Model_2_centrality,core_regionAnhui,-0.02917937314580712,0.02574579864101563,-1.133364458903266,0.4211265202428182,655,0.17368927705192241,0.1660382518394401,18,province-clustered robust SE
LCP_main_0604,Model_2_centrality,core_regionOther,-0.04864626151502029,0.02523804803351886,-1.9274969859163744,0.08844864240960096,655,0.17368927705192241,0.1660382518394401,18,province-clustered robust SE
LCP_main_0604,Model_3_exposure_adjusted,(Intercept),0.12198900802134316,0.016042039672519,7.604332772616054,0.00400268260415487,655,0.2276534214504787,0.21929727608750085,18,province-clustered robust SE
LCP_main_0604,Model_3_exposure_adjusted,z_unweighted_degree,0.08250417597875742,0.0074205037443007,11.11840635376332,0.00111194894374739,655,0.2276534214504787,0.21929727608750085,18,province-clustered robust SE
LCP_main_0604,Model_3_exposure_adjusted,z_betweenness,-0.03930022904286288,0.00784544648006362,-5.009304332485123,0.01417385202310232,655,0.2276534214504787,0.21929727608750085,18,province-clustered robust SE
LCP_main_0604,Model_3_exposure_adjusted,z_eigenvector,0.00296252226842124,0.00918146687885245,0.3226632854543954,0.790740109698985,655,0.2276534214504787,0.21929727608750085,18,province-clustered robust SE
LCP_main_0604,Model_3_exposure_adjusted,z_record_exposure,0.0044653187645481,0.01183038682393107,0.377444865582539,0.7283343883349076,655,0.2276534214504787,0.21929727608750085,18,province-clustered robust SE
LCP_main_0604,Model_3_exposure_adjusted,core_regionZhejiang,0.02169263583599593,8.375445991927615e-4,25.9002754682003,8.338379731337829e-4,655,0.2276534214504787,0.21929727608750085,18,province-clustered robust SE
LCP_main_0604,Model_3_exposure_adjusted,core_regionAnhui,-0.02357386041111535,0.02133956679916897,-1.1047019198174814,0.4336704326537407,655,0.2276534214504787,0.21929727608750085,18,province-clustered robust SE
LCP_main_0604,Model_3_exposure_adjusted,core_regionOther,-0.04763615974291167,0.02510355955784516,-1.8975858635961769,0.09326997270521369,655,0.2276534214504787,0.21929727608750085,18,province-clustered robust SE
LCP_main_0604,Model_4_unweighted_degree,(Intercept),0.1263392477274604,0.00545104736075343,23.17705926334092,0.00132477536394698,655,0.2274984458952192,0.2203456537275823,18,province-clustered robust SE
LCP_main_0604,Model_4_unweighted_degree,z_unweighted_degree,0.0856301523899738,0.00966110373196747,8.863392296123843,0.00385664327522573,655,0.2274984458952192,0.2203456537275823,18,province-clustered robust SE
LCP_main_0604,Model_4_unweighted_degree,z_betweenness,-0.0403371898047613,0.00839939370493172,-4.80239303237771,0.01683013649939383,655,0.2274984458952192,0.2203456537275823,18,province-clustered robust SE
LCP_main_0604,Model_4_unweighted_degree,z_eigenvector,0.00300528324876262,0.00887929744133632,0.3384595761790739,0.7813330383987036,655,0.2274984458952192,0.2203456537275823,18,province-clustered robust SE
LCP_main_0604,Model_4_unweighted_degree,core_regionZhejiang,0.02123664558669383,0.00150357636136246,14.124088494880436,0.00595216047184375,655,0.2274984458952192,0.2203456537275823,18,province-clustered robust SE
LCP_main_0604,Model_4_unweighted_degree,core_regionAnhui,-0.02379937816304938,0.02065860361029899,-1.15203227730187,0.4205416759984954,655,0.2274984458952192,0.2203456537275823,18,province-clustered robust SE
LCP_main_0604,Model_4_unweighted_degree,core_regionOther,-0.0480119241925085,0.02478732609828951,-1.936954555006304,0.0878245766863019,655,0.2274984458952192,0.2203456537275823,18,province-clustered robust SE
